Empresa,Slugs buscados,GD reviews,AR reviews,Total
SSE,SSE,1026,21729,22755
HSBC,HSBC,13893,7830,21723
Barclays,Barclays,9710,11539,21249
British-American-Tobacco,"British-American-Tobacco, BAT",537,20421,20958
Tesco,Tesco,12149,3732,15881
International-Airlines-Group,"International-Airlines-Group, British-Airways",4378,10435,14813
Unilever,Unilever,5632,8205,13837
GSK,"GSK, GlaxoSmithKline",5646,8101,13747
BT-Group,"BT, BT-Group",5354,8033,13387
Sage-Group,"Sage-Group, Sage",2641,10033,12674
Marks-and-Spencer,"Marks-Spencer, Marks-and-Spencer",4557,7367,11924
IMI,IMI,0,11669,11669
Vodafone,Vodafone,8321,3328,11649
Pearson,Pearson,4879,6357,11236
Sainsburys,"Sainsburys, Sainsbury",7341,1890,9231
Next,Next,3324,5754,9078
AstraZeneca,AstraZeneca,3443,5317,8760
Berkeley-Group,"Berkeley-Group, Berkeley",0,8509,8509
NatWest-Group,"NatWest-Group, NatWest",0,8487,8487
InterContinental-Hotels-Group,"InterContinental-Hotels-Group, IHG",2772,5486,8258
Prudential,Prudential,0,7850,7850
Lloyds-Banking-Group,"Lloyds-Banking-Group, Lloyds-Bank",3033,4540,7573
Compass-Group,"Compass-Group, Compass",2592,4882,7474
Informa,Informa,0,7163,7163
BP,BP,935,4342,5277
BAE-Systems,BAE-Systems,0,4600,4600
Diageo,Diageo,1741,2570,4311
Standard-Chartered,Standard-Chartered,0,4040,4040
Rolls-Royce,"Rolls-Royce, Rolls-Royce-Holdings",0,3254,3254
Aviva,Aviva,1197,1893,3090
Reckitt,"Reckitt, Reckitt-Benckiser",0,3025,3025
Shell,"Shell, Royal-Dutch-Shell",0,3015,3015
JD-Sports-Fashion,"JD-Sports, JD-Sports-Fashion",0,2763,2763
Experian,Experian,0,2591,2591
Greggs,Greggs,0,2581,2581
Ferguson,Ferguson,0,2094,2094
Rentokil-Initial,"Rentokil-Initial, Rentokil",824,1251,2075
Rentokil,Rentokil,824,1251,2075
WH-Smith,"WH-Smith, WHSmith",1076,940,2016
BHP,"BHP, BHP-Group",0,1888,1888
Kingfisher,"Kingfisher, B-Q",0,1864,1864
William-Hill,William-Hill,0,1845,1845
Intertek,Intertek,0,1828,1828
Smith-and-Nephew,"Smith-Nephew, Smith-and-Nephew",0,1702,1702
Rio-Tinto,Rio-Tinto,0,1638,1638
National-Grid,National-Grid,0,1627,1627
Whitbread,Whitbread,653,971,1624
RS-Group,"RS-Group, RS-Components",0,1478,1478
London-Stock-Exchange-Group,"London-Stock-Exchange-Group, LSEG",0,1437,1437
Legal-and-General,"Legal-General, Legal-and-General",416,733,1149
Entain,"Entain, GVC-Holdings",0,1145,1145
easyJet,"easyJet, EasyJet",0,1050,1050
Taylor-Wimpey,Taylor-Wimpey,384,564,948
RELX,"RELX, Reed-Elsevier",0,939,939
Weir-Group,"Weir-Group, Weir",0,781,781
Centrica,Centrica,0,749,749
Anglo-American,Anglo-American,269,479,748
Cobham,Cobham,0,725,725
Schroders,Schroders,0,711,711
WPP,WPP,0,705,705
Severn-Trent,Severn-Trent,0,635,635
Barratt-Developments,"Barratt-Developments, Barratt",108,464,572
Qinetiq,"Qinetiq, QinetiQ",0,538,538
St-James-Place,"St-James-Place, St-James-s-Place",121,404,525
Glencore,Glencore,0,489,489
Auto-Trader,"Auto-Trader, Autotrader",0,463,463
United-Utilities,United-Utilities,152,305,457
M-and-G,"M-and-G, MandG",0,456,456
ITV,ITV,0,453,453
Howden-Joinery,"Howden-Joinery, Howdens",0,430,430
SThree,SThree,0,397,397
DS-Smith,DS-Smith,0,386,386
Spirent,Spirent,0,366,366
Imperial-Brands,"Imperial-Brands, Imperial-Tobacco",0,363,363
Brewin-Dolphin,Brewin-Dolphin,125,235,360
Smurfit-Kappa,Smurfit-Kappa,0,267,267
Bunzl,Bunzl,0,264,264
Persimmon,Persimmon,0,222,222
Spirax-Sarco-Engineering,"Spirax-Sarco-Engineering, Spirax-Sarco",0,199,199
Croda-International,"Croda-International, Croda",0,182,182
Mondi,Mondi,0,147,147
Halma,Halma,0,127,127
Land-Securities,"Land-Securities, Landsec",0,71,71
British-Land,British-Land,0,57,57
3i-Group,"3i-Group, 3i",0,51,51
DCC,DCC,0,47,47
Admiral-Group,"Admiral-Group, Admiral",0,20,20
Ocado,"Ocado, Ocado-Group",0,20,20
Segro,"Segro, SEGRO",0,17,17
Antofagasta,Antofagasta,0,12,12
Drax-Group,"Drax-Group, Drax",0,9,9
Jupiter-Fund-Management,"Jupiter-Fund-Management, Jupiter",0,9,9
Phoenix-Group,Phoenix-Group,0,8,8
Melrose-Industries,"Melrose-Industries, Melrose",0,1,1
